Elevation,topography,group,species.richness,n,fishers.alpha
1790,convergent,Low elev.,12,16,21.83
1790,divergent,Low elev.,14,20,20.82
1809,convergent,Low elev.,6,8,10.91
1809,divergent,Low elev.,9,18,7.17
2119,convergent,Low elev.,7,12,6.93
2119,divergent,Low elev.,16,22,26.89
2170,convergent,Low elev.,10,13,19.99
2170,divergent,Low elev.,13,23,12.66
2201,convergent,Low elev.,20,34,20.57
2201,divergent,Low elev.,22,39,20.54
2343,convergent,High elev.,14,20,20.82
2343,divergent,High elev.,17,18,138.52
2352,convergent,High elev.,7,8,28.36
2352,divergent,High elev.,15,27,14.22
2370,convergent,High elev.,21,31,29.19
2370,divergent,High elev.,23,31,40.1
2421,convergent,High elev.,9,18,7.17
2421,divergent,High elev.,9,21,6.1
2425,convergent,High elev.,20,29,28.54
2425,divergent,High elev.,19,30,21.99
