Elevation,topography,group,plant.community,average.temp.warm.quarter,lat,long,species.richness,n,fishers.alpha,shannon.index
1790,convergent,Low elev.,o.p,21.32110842,32.37168,-110.69043,5,9,4.632165783,1.427061043
1790,divergent,Low elev.,o.p,21.32110842,32.37168,-110.69043,6,10,6.333089419,1.64341772
1809,convergent,Low elev.,o.p,21.28717568,32.37406,-110.6892,2,3,2.622302298,0.636514168
1809,divergent,Low elev.,o.p,21.28717568,32.37406,-110.6892,7,16,4.745142023,1.62861983
2119,convergent,Low elev.,o.p,19.86062272,32.3849,-110.69351,5,10,3.979521562,1.504788284
2119,divergent,Low elev.,o.p,19.86062272,32.3849,-110.69351,5,10,3.979521562,1.504788284
2170,convergent,Low elev.,o.p,19.42297029,32.39001,-110.69557,3,4,5.452555531,1.039720771
2170,divergent,Low elev.,o.p,19.42297029,32.39001,-110.69557,7,17,4.451204682,1.843861438
2201,convergent,Low elev.,p,18.64670493,32.39421,-110.69052,8,18,5.518416671,1.985053188
2201,divergent,Low elev.,p,18.64670493,32.39421,-110.69052,8,18,5.518416671,1.937106176
2343,convergent,High elev.,p.f,17.72402374,32.43649,-110.75956,5,7,7.82436285,1.549826046
2343,divergent,High elev.,p.f,17.72402374,32.43649,-110.75956,8,9,34.61453212,2.043191871
2352,convergent,High elev.,p,17.87608429,32.42673,-110.74444,1,1,1677720701,0.00001
2352,divergent,High elev.,p,17.87608429,32.42673,-110.74444,6,17,3.305012502,1.64591683
2370,convergent,High elev.,p.f,18.52442701,32.42961,-110.73986,8,14,7.756758434,1.945910149
2370,divergent,High elev.,p.f,18.52442701,32.42961,-110.73986,8,14,7.756758434,1.828841156
2421,convergent,High elev.,p.f,18.25364365,32.42644,-110.73726,5,12,3.218173313,1.445185879
2421,divergent,High elev.,p.f,18.25364365,32.42644,-110.73726,5,15,2.626308943,1.564131503
2425,convergent,High elev.,p.f.md,17.869886,32.42275,-110.73145,6,13,4.321902171,1.697733591
2425,divergent,High elev.,p.f.md,17.869886,32.42275,-110.73145,5,11,3.538121485,1.468139939
