tree_number,site,elevation.m,species,group,topography,p.c,dbh_cm,morphotypes,colonized_rt_tips,root_weight.g,species_richness,s,n,fishers_alpha,abundance
LB004,Bear Wallow (DF/PP comparison,2425,Pinus Ponderosa,High elev.,Divergent,p.f.md,25.62394587,2,17,15.465,2,2,3,0.96,1.099256385
LB005,Bear Wallow (DF/PP comparison,2425,Pinus Ponderosa,High elev.,Divergent,p.f.md,46.69606036,2,24,10.832,2,2,2,1.23,2.215657312
LB006,Bear Wallow (DF/PP comparison,2425,Pinus Ponderosa,High elev.,Divergent,p.f.md,69.26423131,3,15,13.317,3,3,3,1.69,1.126379815
LB007,Butterfly trail,2370,Pinus Ponderosa,High elev.,Convergent,p.f,55.2585963,8,344,11.483,8,8,13,9.071307301,29.95732822
LB008,Butterfly trail,2370,Pinus Ponderosa,High elev.,Divergent,p.f,33.45436908,8,176,5.416,8,8,9,54.47619048,32.49630724
LB009,Butterfly trail,2370,Pinus Ponderosa,High elev.,Convergent,p.f,62.80254062,8,241,6.041,8,8,12,10.68431002,39.89405728
LB010,Butterfly trail,2370,Pinus Ponderosa,High elev.,Convergent,p.f,50.42028603,6,210,17.404,6,6,6,594,12.06619168
LB011,Butterfly trail,2370,Pinus Ponderosa,High elev.,Divergent,p.f,79.10000681,10,162,15.983,10,10,11,35.14814815,10.13576925
LB012,Butterfly trail,2370,Pinus Ponderosa,High elev.,Divergent,p.f,55.0039484,4,292,37.442,4,4,7,3.852713178,7.7987287
LB012 adjacent,Butterfly trail,2370,Pinus Ponderosa,High elev.,Divergent,p.f,43.35380655,3,108,12.118,3,3,4,5.456264775,8.912361776
LB013,Middle Bear,1790,Pinus Ponderosa,Low elev.,Convergent,o.p,54.17634269,4,28,20.094,4,4,5,9.285714286,1.393450781
LB014,Middle Bear,1790,Pinus Ponderosa,Low elev.,Divergent,o.p,50.16563812,5,67,9.019,5,5,5,4995,7.428761503
LB015,Middle Bear,1790,Pinus Ponderosa,Low elev.,Divergent,o.p,54.46282159,5,43,21.047,5,5,5,4995,2.043046515
LB016,Middle Bear,1790,Pinus Ponderosa,Low elev.,Convergent,o.p,29.53915747,5,92,8.638,5,5,5,4995,10.65061357
LB017,Middle Bear,1790,Pinus Ponderosa,Low elev.,Convergent,o.p,34.02732687,6,70,19.394,6,6,6,5994,3.609363721
LB018,Middle Bear,1790,Pinus Ponderosa,Low elev.,Divergent,o.p,32.37211546,8,167,8.118,8,8,10,18.57142857,20.57156935
LB019,Parking pullout South of Rose Canyon,2170,Pinus Ponderosa,Low elev.,Divergent,o.p,65.73099157,5,76,7.649,5,5,7,7.675052411,9.935939338
LB020,Parking pullout South of Rose Canyon,2170,Pinus Ponderosa,Low elev.,Divergent,o.p,55.89521608,6,233,2.864,6,6,9,8.013232514,81.3547486
LB021,Parking pullout South of Rose Canyon,2170,Pinus Ponderosa,Low elev.,Convergent,o.p,56.91380771,3,80,6.267,3,3,3,2997,12.76527844
LB023,Parking pullout South of Rose Canyon,2170,Pinus Ponderosa,Low elev.,Convergent,o.p,38.38817232,8,158,6.691,8,8,10,18.57142857,23.61380959
LB024,Parking pullout South of Rose Canyon,2170,Pinus Ponderosa,Low elev.,Divergent,o.p,41.12563734,5,153,4.162,5,5,7,7.675052411,36.76117251
LB025,Green Mountain/Bug Springs,1809,Pinus Ponderosa,Low elev.,Convergent,o.p,50.86591987,1,37,15.82,1,1,2,0.797202797,2.338811631
