Elevation,topography,group,plant.community,average.temp.warm.quarter,lat,long,species.richness,n,fishers.alpha,shannon.index
1790,Convergent,Low elev.,o.p,21.32110842,32.37168,-110.69043,7,41,2.43220339,0.048462513
1790,Divergent,Low elev.,o.p,21.32110842,32.37168,-110.69043,1,41,0.14813328,0.10720828
1809,Convergent,Low elev.,o.p,21.28717568,32.37406,-110.6892,4,36,1.151702786,0.03686752
1809,Divergent,Low elev.,o.p,21.28717568,32.37406,-110.6892,7,41,2.43220339,0.066048114
2119,Convergent,Low elev.,o.p,19.86062272,32.3849,-110.69351,7,8,29.20930233,0.010663099
2119,Divergent,Low elev.,o.p,19.86062272,32.3849,-110.69351,4,5,9.285714286,0.006587052
2170,Convergent,Low elev.,o.p,19.42297029,32.39001,-110.69557,8,23,4.446300716,0.027494457
2170,Divergent,Low elev.,o.p,19.42297029,32.39001,-110.69557,7,17,4.424070573,0.020089827
2201,Convergent,Low elev.,p,18.64670493,32.39421,-110.69052,5,11,3.473684211,0.013323603
2201,Divergent,Low elev.,p,18.64670493,32.39421,-110.69052,8,34,3.424325812,0.037988632
2343,Convergent,High elev.,p.f,17.72402374,32.43649,-110.75956,4,29,1.303030303,0.029357351
2343,Divergent,High elev.,p.f,17.72402374,32.43649,-110.75956,2,9,0.793253536,0.0138851
2352,Convergent,High elev.,p,17.87608429,32.42673,-110.74444,9,17,7.817518248,0.019717026
2352,Divergent,High elev.,p,17.87608429,32.42673,-110.74444,6,9,8.013232514,0.010966768
2370,Convergent,High elev.,p.f,18.52442701,32.42961,-110.73986,4,11,2.221153846,0.012033727
2370,Divergent,High elev.,p.f,18.52442701,32.42961,-110.73986,6,15,3.72659176,0.015928525
2421,Convergent,High elev.,p.f,18.25364365,32.42644,-110.73726,5,5,4995,0.00604737
2421,Divergent,High elev.,p.f,18.25364365,32.42644,-110.73726,4,10,2.484394507,0.010937389
2425,Convergent,High elev.,p.f.md,17.869886,32.42275,-110.73145,8,37,3.261153428,0.034777087
2425,Divergent,High elev.,p.f.md,17.869886,32.42275,-110.73145,11,20,10.07518797,0.033327425
