elevation,tree_number,species,ph.su,EC.ds.m,ca.ppm,mg.ppm,na.ppm,k.ppm,zn.ppm,fe.ppm,mn.ppm,cu.ppm,ni.ppm,po4.p.ppm,so4.s.ppm,b.ppm,esp,cec.meq.100g,topography,group,northing,easting,zone,plant.comm,annual.prec.cm,average.temp.warm.quarter,average.temp.cold.quarter
1790,LB013,Pinus ponderosa,4.3,0.1,410,90,7.9,51,3.7,200,38,0.92,0.11,4,18,0.31,1.2,3,Convergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB014,Pinus ponderosa,4.5,0.17,220,54,7.8,37,2.8,57,8.7,0.39,0.03,6.2,19,0.16,2,1.7,Divergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB015,Pinus ponderosa,5.7,0.03,250,52,7.2,46,2.3,20,6.9,0.31,0.01,5.8,17,0.13,1.7,1.8,Divergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB016,Pinus ponderosa,4.3,0.1,410,90,7.9,51,3.7,200,38,0.92,0.11,4,18,0.31,1.2,3,Convergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB017,Pinus ponderosa,4.3,0.1,410,90,7.9,51,3.7,200,38,0.92,0.11,4,18,0.31,1.2,3,Convergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1790,LB018,Pinus ponderosa,5.1,0.1,235,53,7.5,41.5,2.55,38.5,7.8,0.35,0.02,6,18,0.145,1.85,1.75,Divergent,Low elev.,3581677,529122,12,o.p,612.0183408,21.32110842,5.328252928
1809,LB025,Pinus ponderosa,6,0.02,160,38,6.5,4.8,2.4,6.8,5.9,0.38,0.01,4,18,0.04,2.4,1.2,Convergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB026,Pinus ponderosa,6,0.02,160,38,6.5,4.8,2.4,6.8,5.9,0.38,0.01,4,18,0.04,2.4,1.2,Convergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB027,Pinus ponderosa,6,0.02,160,38,6.5,4.8,2.4,6.8,5.9,0.38,0.01,4,18,0.04,2.4,1.2,Convergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB028,Pinus ponderosa,5.7,0.07,650,150,14,150,2.5,26,35,0.99,0.06,6.3,17,0.48,1.2,4.9,Divergent,Low elev.,3581941,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB029,Pinus ponderosa,6,0.09,765,104,12.5,109.5,3,37,35.5,2.095,0.135,6.3,8.5,0.38,1.05,5,Divergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
1809,LB030,Pinus ponderosa,6.3,0.11,880,58,11,69,3.5,48,36,3.2,0.21,6.3,0,0.28,0.9,5.1,Divergent,Low elev.,3581941.1,529237,12,o.p,613.046784,21.28717568,5.30297344
2119,LB062,Pinus ponderosa,5.8,0.03,340,50,7.9,27,2,24,7.6,0.89,0.08,6.3,18,0.14,1.5,2.2,Convergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2119,LB063,Pinus ponderosa,5.8,0.03,340,50,7.9,27,2,24,7.6,0.89,0.08,6.3,18,0.14,1.5,2.2,Convergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2119,LB064,Pinus ponderosa,4,0.19,130,33,8.8,46,1.6,97,5.3,0.81,0.07,7.8,26,0.21,3.5,1.1,Divergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2119,LB065,Pinus ponderosa,4.8,0.21,350,50,12.4,78,3.25,98.5,19.65,4.355,0.135,21.9,13.95,0.245,2.7,2.45,Divergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2119,LB066,Pinus ponderosa,5.6,0.23,570,67,16,110,4.9,100,34,7.9,0.2,36,1.9,0.28,1.9,3.8,Divergent,Low elev.,3583141.6,528828.1,12,o.p,666.214448,19.86062272,4.2496256
2170,LB019,Pinus ponderosa,5.25,0.065,440,51,10.4,54.5,5.45,56.5,59.5,3.96,0.11,10.3,11.4,0.28,1.7,2.8,Divergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2170,LB020,Pinus ponderosa,5.4,0.09,650,65,14,74,8.4,71,89,7,0.18,14,4.8,0.36,1.5,4,Divergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2170,LB021,Pinus ponderosa,5.2,0.05,250,37,9.2,63,2,78,12,0.76,0.05,6.2,21,0.17,2.3,1.8,Convergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2170,LB023,Pinus ponderosa,5.2,0.05,250,37,9.2,63,2,78,12,0.76,0.05,6.2,21,0.17,2.3,1.8,Convergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2170,LB024,Pinus ponderosa,5.1,0.04,230,37,6.8,35,2.5,42,30,0.92,0.04,6.6,18,0.2,1.9,1.6,Divergent,Low elev.,3583707.4,528632.7,12,o.p,683.2906347,19.42297029,3.925825664
2201,LB055,Pinus ponderosa,5.2,0.08,270,39,8.2,93,1.2,67,16,0.72,0.07,6.5,19,0.2,1.8,1.9,Convergent,Low elev.,3584174.4,529106.3,12,p,712.1216163,18.64670493,3.300723584
